NUM	x	y	z	mode
1	37.314	12.773	-4.248	0x00
2	89.989  0.000 -2.794 0x01
3	44.802	0.032	-3.92	0x00
4	90.382	-23.784	-3.407	0x00
5	82.861	-11.844	-3.253	0x01
6	75.350	-24.919	-3.418	0x01
8	60.379	-24.796	-3.418	0x00
9	89.880  26.036  -3.059  0x01
10	82.353 13.243  -3.113  0x01
12	52.842	-11.876	-3.341	0x01
13	14.690  -0.036  -4.485  0x00
14	45.389	-24.860	-3.42	0x01
15	29.956	26.535	-4.394	0x01
16	37.852	-11.888	-3.256	0x00
17	30.651	-24.770	-3.431	0x00
20	7.417	13.048	-4.763	0x00
21	22.375	12.897	-4.521	0x01
22	22.900	-11.978	-3.314	0x01
23	-7.582	12.881	-5.252	0x01
24	15.360	-25.508	-3.421	0x01
25	74.822  0.063 -3.251  0x00
26	74.916  26.101  -3.344  0x00
27	67.267  13.061  -3.574  0x00
28	-30.061	-26.289	-5.073	0x01
30	44.898  26.108  -4.062  0x00
31	59.726  0.046 -3.647  0x01
32	14.989	26.812	-4.713	0x00
34	-11.581	27.295	-5.256	0x00
35	-8.819	-15.321	-4.861	0x00
37	2.139	-0.491	-1.088	0x11
38	3.278 26.891  -4.925  0x01
39	-18.115	12.430	-5.334	0x00
40	-15.186	-26.101	-4.909	0x00
42	52.466  13.066  -3.857  0x01
43	30.256  1.168 -2.123  0x21
45	59.763  25.969  -3.768  0x01
46	67.831	-11.859	-3.318	0x00
47	-15.233	-0.062	-5.204	0x00
50	-22.671	-13.002	-5.028	0x01							
